Final Results Table - 2,,,,,,,,,,
"Bench
mark
Name","# sym
inputs",mode,"run
time
(msec)","static
ana.
time
(msec)","#
exec.
paths","#
solver
queries","solver
time
(msec)","#
inst.
reg.","#
inst.
methods","#
inst."
PrintTokens2,3,1,4.2E+04,0.0E+00,9.1E+03,1.9E+05,2.3E+04,0.0E+00,0.0E+00,0.0E+00
PrintTokens2,3,2,4.8E+04,8.0E+02,8.2E+03,1.8E+05,2.3E+04,2.0E+00,0.0E+00,2.3E+03
PrintTokens2,3,3,5.2E+04,1.2E+03,8.2E+03,1.8E+05,2.6E+04,2.0E+00,0.0E+00,2.3E+03
PrintTokens2,3,4,5.0E+04,1.2E+03,8.2E+03,1.9E+05,2.5E+04,2.0E+00,0.0E+00,2.3E+03
PrintTokens2,3,5,7.7E+04,1.1E+03,6.6E+03,1.7E+05,3.4E+04,1.5E+01,0.0E+00,1.8E+04
ApacheCLI,6,1,1.3E+07,0.0E+00,2.5E+06,2.7E+07,4.4E+06,0.0E+00,0.0E+00,0.0E+00
ApacheCLI,6,2,1.7E+06,6.1E+02,9.3E+04,2.1E+05,6.9E+05,4.0E+00,0.0E+00,4.2E+05
ApacheCLI,6,3,1.8E+06,9.1E+02,9.3E+04,2.1E+05,7.4E+05,4.0E+00,0.0E+00,4.2E+05
ApacheCLI,6,4,5.9E+06,9.1E+02,9.3E+04,1.1E+06,4.1E+06,4.0E+00,0.0E+00,4.2E+05
ApacheCLI,6,5,5.0E+06,1.1E+03,9.3E+04,1.1E+06,3.3E+06,5.0E+00,0.0E+00,4.4E+05
ApacheCLI,7,2,1.3E+07,5.5E+02,5.6E+05,1.3E+06,5.5E+06,4.0E+00,0.0E+00,3.6E+06
ApacheCLI,6+1,1,3.2E+07,0.0E+00,4.8E+06,6.4E+07,9.5E+06,0.0E+00,0.0E+00,0.0E+00
ApacheCLI,6+1,2,3.8E+06,5.9E+02,1.7E+05,7.6E+05,1.8E+06,4.0E+00,0.0E+00,8.1E+05
ApacheCLI,6+1,3,3.7E+06,8.0E+02,1.7E+05,7.6E+05,1.7E+06,4.0E+00,0.0E+00,8.1E+05
ApacheCLI,6+1,4,1.0E+07,8.4E+02,1.7E+05,2.4E+06,7.3E+06,4.0E+00,0.0E+00,8.1E+05
ApacheCLI,6+1,5,1.2E+07,7.4E+02,1.7E+05,2.4E+06,8.0E+06,5.0E+00,0.0E+00,8.5E+05
ApacheCLI,7+1,2,,,,,,,,
"MerArbiter-
6steps",24,1,5.5E+06,0.0E+00,7.1E+05,2.7E+05,3.8E+04,0.0E+00,0.0E+00,0.0E+00
"MerArbiter-
6steps",24,2,1.7E+06,1.2E+04,4.1E+04,1.3E+05,5.1E+04,3.4E+01,0.0E+00,6.7E+04
"MerArbiter-
6steps",24,3,1.8E+06,2.1E+04,4.1E+04,1.3E+05,4.9E+04,3.4E+01,0.0E+00,6.7E+04
"MerArbiter-
6steps",24,4,1.9E+06,2.0E+04,4.1E+04,2.6E+05,1.1E+05,3.5E+01,0.0E+00,6.8E+04
"MerArbiter-
6steps",24,5,2.0E+06,2.1E+04,4.1E+04,2.6E+05,1.1E+05,3.5E+01,0.0E+00,6.8E+04
"MerArbiter-
7steps",28,2,1.2E+07,1.3E+04,2.8E+05,8.7E+05,4.4E+05,3.4E+01,0.0E+00,4.6E+05
