"Benchmark
name","multi-
path
region
summ.","+ higher-
order
regions","+ single-
path
cases","+returns
summ."
WBS,0.0002,0.0002,0.0002,0.0002
TCAS,0.347,0.002,0.002,0.002
replace,1.36,3.23,3.93,3.89
NanoXML,0.84,0.74,2.25,0.44
PrintTokens2,0.67,0.66,0.7,0.78
ApacheCLI,0.16,0.13,0.18,0.19
MerArbiter,0.15,0.16,0.17,0.16
