Results of running Java Ranger on various benchmarks on heathrow. heathrow is a machine that has 192 GB RAM and a Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz processor. Each run was limited to using up to 8 GB of memory using the -Xmx option to java.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Solver Statistics,,,,Region statistics,,,,,,,,Instantiation metrics,,,,,,Static Analysis results,,,,,Metrics for exceptions,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PrintTokens2,3,1,41973,0,41973,9074,188002,23080,6440,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0
PrintTokens2,3,2,48658,800,47858,8184,182366,23179,6293,21,2,20,44,2,0,18,0,50,2287,20,168427,2,0,18,50,0,8,9,2.8,0,0,0
PrintTokens2,3,3,52751,1180,51571,8184,182366,26022,8956,22,2,20,44,0,0,20,0,50,2287,20,168427,0,0,20,70,20,10,384,13.84285714,0,0,0
PrintTokens2,3,4,51064,1222,49842,8184,186940,24538,6942,19,2,20,44,0,0,20,0,50,2287,20,168427,0,0,20,70,20,10,384,13.84285714,0,0,0
PrintTokens2,3,5,78253,1129,77124,6612,168350,33783,10649,13,15,2,43,0,0,2,0,46,18230,2,316971,0,0,2,70,20,10,384,13.84285714,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ApacheCLI,6,1,12987647,0,12987647,2515866,26577992,4393629,1501092,2583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0
ApacheCLI,6,2,1731854,611,1731243,93328,208980,693509,26031,57,4,2,14,0,0,2,0,16,420736,2,5808959,0,0,2,34,0,2,4,2.264705882,0,0,0
ApacheCLI,6,3,1804419,910,1803509,93328,208980,744353,26059,53,4,2,14,0,0,2,0,16,420736,2,5808959,0,0,2,83,49,2,64,1.333333333,0,0,0
ApacheCLI,6,4,5859781,907,5858874,93328,1050452,4090707,286963,399,4,2,14,0,0,2,0,16,420736,2,5808959,0,0,2,83,49,2,64,1.333333333,0,0,0
