"Benchmark
name","multi-
path
region
summ.","+ higher-
order
regions","+ single-
path
cases","+returns
summ."
WBS,0,0,0,0
TCAS,0.234,0,0,0
replace,0.74,1.13,0.33,0.33
NanoXML,0.9999,0.9995,0.2778,0.1332
PrintTokens2,0.92,0.92,0.92,0.69
ApacheCLI,0.05,0.05,0.05,0.05
MerArbiter,0.13,0.13,0.13,0.13
